ORG_NAME,target
MetricsDAO Academy,0xcfba6d63ec822425775d3c509e60ff689c1ae1e7
MetricsDAO Academy,0x546a5cb5c0add53efbc60000644aa70204b20576
MetricsDAO Academy,0x15743290891131d837c4427cfd81568e08e8afe2
MetricsDAO Academy,0x7139cb6a566665b5b6286bce95a636751cc9cb65
MetricsDAO Academy,0xc496c35c7545fd595478746fbf34a0d5357045f5
MetricsDAO Academy,0xfae4ae31b92f48a3b1bee93cd774e5de2da66f7c
MetricsDAO Academy,0x89f57908762b58f550cb79280588b9c5988c38a0
OFAC Sanctions List,0xb541fc07bc7619fd4062a54d96268525cbc6ffef
MetricsDAO Academy,0x533199f7a7ad865894c01103049d637d1c6020bc
OTNs,0xd4dca397627a3e1e162d8410bd09f22a3ac5bec0
MetricsDAO,sunslinger
cosanostra,sunslinger
Flipside ProAd,sunslinger
Pizza Club,sunslinger
Pizza Club,sunslinger
Pizza Club,sunslinger
Pizza Club,sunslinger
MetricsDAO Academy,sunslinger
MetricsDAO BB,sunslinger
MetricsDAO,sunslinger
Alpha Badger,sunslinger
FlippyFlip BOD,sunslinger
MetricsDAO BB,sunslinger
SLC DAO,teamd
UTC,dfranco
MetricsDAO Academy,sagersolutions
Lenstopia,unioncore
MetricsDAO Academy,stoczek
MetricsDAO Academy,stoczek
Lenstopia,punkess
Lenstopia,punkess
Lenstopia,punkess
Lenstopia,punkess
Lenstopia,punkess
Lenstopia,punkess
Lenstopia,punkess
Lenstopia,punkess
Lenstopia,punkess
Lenstopia,punkess
Lenstopia,punkess
Lenstopia,punkess
Alpha Badger,manasisingh
Tachyon,manasisingh
MetricsDAO Academy,rezi88
UTC,kenlee
MetricsDAO Academy,0x371633f533626cde63e4d9fb11043a9e8c3ed51e
MetricsDAO Academy,0x527e95d9b4ba95e31275b787c7df2d4cde8eeda0
Dune Wizards,0xee80e991203fd99395ffbd337f0d168b75a7beb2
mDAO Bounty Boyz,0x873d6214903310fbb59eca3513cf82afae8c1622
MetricsDAO Academy,0x9430ce779bb2cc5b8cf57c379ac735ab2a78462e
